lokasi,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_bangunan,harga
"Cempaka Putih, Jakarta Pusat",2,1,33,500000000
"Cempaka Putih, Jakarta Pusat",2,1,33,500000000
"Cempaka Putih, Jakarta Pusat",2,1,33,480000000
"Cempaka Putih, Jakarta Pusat",2,1,33,500000000
"Cempaka Putih, Jakarta Pusat",2,1,33,350000000
"Cempaka Putih, Jakarta Pusat",2,1,33,280000000
"Cempaka Putih, Jakarta Pusat",1,1,33,440000000
"Cempaka Putih, Jakarta Pusat",2,1,34,500000000
"Cempaka Putih, Jakarta Pusat",1,1,21,280000000
"Cempaka Putih, Jakarta Pusat",2,1,33,480000000
"Cempaka Putih, Jakarta Pusat",2,1,33,465000000
"Cempaka Putih, Jakarta Pusat",2,1,33,495000000
"Cempaka Putih, Jakarta Pusat",2,1,33,400000000
"Cempaka Putih, Jakarta Pusat",2,1,33,450000000
"Cempaka Putih, Jakarta Pusat",2,1,33,510000000
"Cempaka Putih, Jakarta Pusat",2,1,33,510000000
"Cempaka Putih, Jakarta Pusat",2,1,33,350000000
"Cempaka Putih, Jakarta Pusat",2,1,33,535000000
"Cempaka Mas, Jakarta Pusat",2,1,72,700000000
"Cempaka Putih, Jakarta Pusat",1,1,21,250000000
"Cempaka Putih, Jakarta Pusat",2,1,31,350000000
"Cempaka Mas, Jakarta Pusat",3,3,94,700000000
"Cempaka Putih, Jakarta Pusat",2,1,33,500000000
"Cempaka Putih, Jakarta Pusat",1,1,57,2100000000
"Cempaka Putih, Jakarta Pusat",1,1,34,1400000000
"Cempaka Mas, Jakarta Pusat",2,1,76,715000000
"Cempaka Putih, Jakarta Pusat",2,1,33,540000000
"Cempaka Mas, Jakarta Pusat",2,1,76,715000000
"Cempaka Putih, Jakarta Pusat",1,1,21,300000000
"Cempaka Putih, Jakarta Pusat",2,1,33,525000000
"Cempaka Putih, Jakarta Pusat",2,1,33,500000000
"Cempaka Mas, Jakarta Pusat",2,2,74,650000000
"Cempaka Putih, Jakarta Pusat",2,1,33,480000000
"Cempaka Putih, Jakarta Pusat",1,1,33,370000000
"Cempaka Putih, Jakarta Pusat",1,1,21,380000000
"Cempaka Putih, Jakarta Pusat",2,1,33,420000000
"Cempaka Putih, Jakarta Pusat",2,1,33,370000000
"Cempaka Putih, Jakarta Pusat",2,1,33,370000000
"Cempaka Mas, Jakarta Pusat",3,2,74,550000000
"Cempaka Putih, Jakarta Pusat",2,1,33,500000000
"Cempaka Putih, Jakarta Pusat",1,1,34,1300000000
"Cempaka Putih, Jakarta Pusat",2,1,33,350000000
"Cempaka Putih, Jakarta Pusat",2,1,33,470000000
"Cempaka Putih, Jakarta Pusat",1,1,21,270000000
"Cempaka Putih, Jakarta Pusat",2,1,33,395000000
"Cempaka Putih, Jakarta Pusat",2,2,89,2000000000
"Cempaka Putih, Jakarta Pusat",1,1,40,500000000
"Cempaka Putih, Jakarta Pusat",2,1,33,350000000
"Cempaka Putih, Jakarta Pusat",2,1,33,470000000
"Cempaka Putih, Jakarta Pusat",1,1,21,270000000
"Cempaka Putih, Jakarta Pusat",2,1,33,395000000
"Cempaka Putih, Jakarta Pusat",1,1,30,1300000000
"Cempaka Mas, Jakarta Pusat",3,2,94,850000000
"Cempaka Putih, Jakarta Pusat",2,1,74,650000000
"Cempaka Putih, Jakarta Pusat",1,1,21,550000000
"Cempaka Putih, Jakarta Pusat",2,1,36,400000000
"Cempaka Mas, Jakarta Pusat",3,2,94,850000000
"Cempaka Mas, Jakarta Pusat",3,2,94,780000000
"Cempaka Mas, Jakarta Pusat",3,2,94,780000000
"Cempaka Putih, Jakarta Pusat",1,1,21,300000000
"Cempaka Putih, Jakarta Pusat",3,2,94,950000000
"Cempaka Putih, Jakarta Pusat",2,1,28,600000000
"Cempaka Putih, Jakarta Pusat",2,1,33,350000000
"Cempaka Putih, Jakarta Pusat",2,1,33,470000000
"Cempaka Putih, Jakarta Pusat",1,1,21,270000000
"Cempaka Putih, Jakarta Pusat",2,1,33,395000000
"Cempaka Putih, Jakarta Pusat",2,1,33,350000000
"Cempaka Putih, Jakarta Pusat",2,1,33,470000000
"Cempaka Putih, Jakarta Pusat",1,1,21,270000000
"Cempaka Putih, Jakarta Pusat",2,1,33,395000000
"Cempaka Putih, Jakarta Pusat",1,1,33,350000000
"Cempaka Putih, Jakarta Pusat",2,1,34,300000000
"Cempaka Mas, Jakarta Pusat",2,2,74,700000000
"Cempaka Putih, Jakarta Pusat",2,2,89,1870000000
"Cempaka Putih, Jakarta Pusat",2,1,33,500000000
"Cempaka Putih, Jakarta Pusat",1,1,33,350000000
"Cempaka Putih, Jakarta Pusat",1,1,42,625000000
"Cempaka Putih, Jakarta Pusat",2,1,37,400000000
"Cempaka Putih, Jakarta Pusat",2,1,33,450000000
"Cempaka Putih, Jakarta Pusat",2,1,34,475000000
"Cempaka Putih, Jakarta Pusat",3,2,66,1450000000
"Cempaka Putih, Jakarta Pusat",2,1,33,540000000
"Cempaka Putih, Jakarta Pusat",1,1,21,270000000
"Cempaka Putih, Jakarta Pusat",2,1,33,480000000
"Cempaka Putih, Jakarta Pusat",2,1,33,470000000
"Cempaka Putih, Jakarta Pusat",1,1,21,330000000
"Cempaka Putih, Jakarta Pusat",1,1,21,250000000
"Cempaka Putih, Jakarta Pusat",2,1,33,360000000
"Cempaka Putih, Jakarta Pusat",1,1,21,340000000
"Cempaka Putih, Jakarta Pusat",2,2,33,370000000
"Cempaka Putih, Jakarta Pusat",2,2,34,340000000
"Cempaka Putih, Jakarta Pusat",2,2,33,450000000
"Cempaka Putih, Jakarta Pusat",2,1,33,420000000
"Cempaka Putih, Jakarta Pusat",2,1,33,485000000
"Cempaka Putih, Jakarta Pusat",1,1,21,250000000
