lokasi,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_bangunan,harga
"Menteng, Jakarta Pusat",2,2,64,3000000000
"Menteng, Jakarta Pusat",2,2,64,3000000000
"Menteng, Jakarta Pusat",2,2,50,3100000000
"Menteng, Jakarta Pusat",2,2,50,3100000000
"Menteng, Jakarta Pusat",2,2,123,4880000000
"Menteng, Jakarta Pusat",3,2,112,5500000000
"Kebon Sirih, Jakarta Pusat",2,2,130,6000000000
"Cikini, Jakarta Pusat",2,1,64,3000000000
"Cikini, Jakarta Pusat",2,2,64,2850000000
"Cikini, Jakarta Pusat",2,2,64,2850000000
"Cikini, Jakarta Pusat",2,2,64,2850000000
"Menteng Atas, Jakarta Pusat",2,2,86,3300000000
"Menteng, Jakarta Pusat",1,1,28,980000000
"Menteng, Jakarta Pusat",2,1,58,3500000000
"Cikini, Jakarta Pusat",2,1,60,2400000000
"Cikini, Jakarta Pusat",2,1,64,3000000000
"Cikini, Jakarta Pusat",2,1,64,3000000000
"Cikini, Jakarta Pusat",2,2,58,3500000000
"Cikini, Jakarta Pusat",2,2,58,3500000000
"Cikini, Jakarta Pusat",2,2,58,3500000000
"Menteng, Jakarta Pusat",2,1,61,2400000000
"Menteng, Jakarta Pusat",2,1,61,2700000000
"Cikini, Jakarta Pusat",2,1,61,2400000000
"Menteng, Jakarta Pusat",2,1,61,2400000000
"Menteng, Jakarta Pusat",2,1,61,2200000000
"Cikini, Jakarta Pusat",2,2,65,2900000000
"CBD Area, Jakarta Pusat",2,1,80,3000000000
"Menteng, Jakarta Pusat",1,1,33,1750000000
"Menteng, Jakarta Pusat",2,2,152,5000000000
"Menteng, Jakarta Pusat",1,1,28,950000000
"Menteng, Jakarta Pusat",2,2,72,3990000000
"Cikini, Jakarta Pusat",2,1,50,2000000000
"Menteng, Jakarta Pusat",2,2,64,3000000000
"Menteng, Jakarta Pusat",2,2,66,3250000000
"Menteng, Jakarta Pusat",2,2,72,4099999999
"Cikini, Jakarta Pusat",2,2,58,3500000000
"Cikini, Jakarta Pusat",2,1,61,2700000000
"Menteng, Jakarta Pusat",2,1,58,2750000000
"Menteng, Jakarta Pusat",3,3,112,4000000000
"Menteng, Jakarta Pusat",2,1,64,3000000000
"Menteng, Jakarta Pusat",2,2,58,2600000000
"Menteng, Jakarta Pusat",2,2,156,5500000000
